"heavy_1_0",195,1256908977,1256909149,1
"heavy_1_1",195,1256909104,1256909235,1
"heavy_1_2",195,1256909235,1256909320,1
"heavy_1_3",195,1256909320,1256909502,1
"heavy_1_4",195,1256909502,1256909573,1
"heavy_2_0",0,1256909887,1256909928,1
"heavy_2_1",0,1256909887,1256909928,1
"heavy_3_0",0,1256926872,1256926989,1
"heavy_3_1",0,1256926872,1256926989,1
"heavy_4_0",0,1256927469,1256927505,1
"heavy_4_1",0,1256927469,1256927505,1
"heavy_6_0",0,1256928303,1256928330,1
"heavy_6_1",0,1256928319,1256928396,1
"heavy_7_0",0,1256933842,1256933918,1
"heavy_7_1",0,1256933842,1256933918,1
"heavy_7_2",0,1256933959,1256933991,1
"heavy_7_3",0,1256933959,1256933991,1
"heavy_8_0",0,1256933959,1256933991,1
"heavy_8_1",0,1256933959,1256933991,1
"heavy_9_0",195,1256936232,1256936268,1
"heavy_9_1",195,1256936232,1256936268,1
"heavy_9_2",195,1256936339,1256936419,1
"heavy_9_3",195,1256936339,1256936419,1
"heavy_10_0",0,1256936943,1256937004,1
"heavy_10_1",0,1256936943,1256937004,1
"heavy_11_0",0,1256937422,1256937454,1
"heavy_11_1",0,1256937438,1256937454,1
"heavy_12_0",-186,1256938217,1256938247,1
"heavy_12_1",-186,1256938217,1256938247,1
"heavy_13_0",-186,1256938217,1256938247,1
"heavy_13_1",-186,1256938217,1256938247,1
"heavy_12_2",-186,1256938343,1256938415,1
"heavy_12_3",-186,1256938343,1256938415,1
"heavy_13_2",-186,1256938343,1256938415,1
"heavy_13_3",-186,1256938343,1256938415,1
"heavy_14_0",0,1256938415,1256938487,1
"heavy_14_1",0,1256938415,1256938487,1
"heavy_14_2",0,1256938517,1256938553,1
"heavy_14_3",0,1256938517,1256938553,1
"heavy_15_0",0,1256938517,1256938553,1
"heavy_15_1",0,1256938517,1256938553,1
"heavy_16_0",0,1256939047,1256939503,1
"heavy_16_1",0,1256939047,1256939503,1
"heavy_16_2",0,1256939529,1256939611,1
"heavy_16_3",0,1256939529,1256939611,1
"heavy_17_0",0,1256939529,1256939611,1
"heavy_17_1",0,1256939529,1256939611,1
"heavy_18_0",0,1256939893,1256939974,1
"heavy_18_1",0,1256939893,1256939974,1
"heavy_19_0",0,1257164482,1257164522,2
"heavy_19_1",0,1257164508,1257164599,2
"heavy_20_0",0,1257263360,1257263573,3
"heavy_20_1",0,1257263376,1257263573,3
"heavy_21_0",0,1257263650,1257263846,3
"heavy_21_1",0,1257263650,1257263846,3
"heavy_22_0",0,1257332174,1257332368,3
"heavy_22_1",0,1257332174,1257332368,3
"heavy_23_0",0,1257333023,1257333279,2
"heavy_23_1",0,1257333023,1257333279,2
"heavy_24_0",0,1257357775,1257358092,4
"heavy_24_1",0,1257357775,1257358314,4
"heavy_25_0",0,1257358592,1257358871,4
"heavy_25_1",0,1257358592,1257360540,4
